year,concept_name,file,stock_count,status,source_platforms,theme_source_platform,theme_source_title,theme_source_url
2020,防疫,data\concept_stocks_by_year\2020\防疫.csv,8,ok,CMoney,Anue鉅亨,〈2020封關〉十大飆股出爐 防疫族群占4席 美德醫瘋漲2300%奪飆漲王 | 鉅亨網 - 台股新聞,https://news.cnyes.com/news/id/4555631
2020,遠距教學,data\concept_stocks_by_year\2020\遠距教學.csv,8,ok,CMoney,工商時報,12檔遠距辦公概念股 吸睛 - 日報 - 工商時報,https://www.ctee.com.tw/news/20200528701025-439901
2020,居家辦公(WFH),data\concept_stocks_by_year\2020\居家辦公(WFH).csv,8,ok,CMoney,,,
2020,宅經濟,data\concept_stocks_by_year\2020\宅經濟.csv,8,ok,CMoney,,,
2020,Chromebook,data\concept_stocks_by_year\2020\Chromebook.csv,8,ok,CMoney,,,
2020,電商,data\concept_stocks_by_year\2020\電商.csv,8,ok,CMoney,,,
2020,物流,data\concept_stocks_by_year\2020\物流.csv,8,ok,CMoney,,,
2020,線上遊戲,data\concept_stocks_by_year\2020\線上遊戲.csv,8,ok,CMoney,,,
2020,5G,data\concept_stocks_by_year\2020\5G.csv,8,ok,CMoney,,,
2020,O-RAN,data\concept_stocks_by_year\2020\O-RAN.csv,8,ok,CMoney,,,
2020,WiFi 6,data\concept_stocks_by_year\2020\WiFi 6.csv,8,ok,CMoney,,,
2020,Mini LED,data\concept_stocks_by_year\2020\Mini LED.csv,8,ok,CMoney,,,
2020,PCB,data\concept_stocks_by_year\2020\PCB.csv,8,ok,CMoney,,,
2020,IC載板,data\concept_stocks_by_year\2020\IC載板.csv,4,ok,CMoney,,,
2020,被動元件,data\concept_stocks_by_year\2020\被動元件.csv,8,ok,CMoney,,,
2020,電源供應器,data\concept_stocks_by_year\2020\電源供應器.csv,8,ok,CMoney,,,
2020,生技醫療,data\concept_stocks_by_year\2020\生技醫療.csv,8,ok,CMoney,,,
2020,保健食品,data\concept_stocks_by_year\2020\保健食品.csv,8,ok,CMoney,,,
2020,旅遊,data\concept_stocks_by_year\2020\旅遊.csv,8,ok,CMoney,,,
2021,電動車,data\concept_stocks_by_year\2021\電動車.csv,8,ok,CMoney,,,
2021,Tesla特斯拉,data\concept_stocks_by_year\2021\Tesla特斯拉.csv,8,ok,CMoney,,,
2021,MIH,data\concept_stocks_by_year\2021\MIH.csv,8,ok,CMoney,,,
2021,鴻海MIH電動車平台,data\concept_stocks_by_year\2021\鴻海MIH電動車平台.csv,8,ok,CMoney,,,
2021,元宇宙,data\concept_stocks_by_year\2021\元宇宙.csv,8,ok,CMoney,,,
2021,虛擬貨幣,data\concept_stocks_by_year\2021\虛擬貨幣.csv,8,ok,CMoney,,,
2021,比特幣挖礦,data\concept_stocks_by_year\2021\比特幣挖礦.csv,8,ok,CMoney,,,
2021,碳權,data\concept_stocks_by_year\2021\碳權.csv,8,ok,CMoney,,,
2021,風力發電,data\concept_stocks_by_year\2021\風力發電.csv,8,ok,CMoney,,,
2021,太陽能,data\concept_stocks_by_year\2021\太陽能.csv,8,ok,CMoney,,,
2021,氫燃料電池,data\concept_stocks_by_year\2021\氫燃料電池.csv,8,ok,CMoney,,,
2021,功率半導體,data\concept_stocks_by_year\2021\功率半導體.csv,8,ok,CMoney,,,
2021,第三方支付,data\concept_stocks_by_year\2021\第三方支付.csv,8,ok,CMoney,,,
2021,電商,data\concept_stocks_by_year\2021\電商.csv,8,ok,CMoney,,,
2021,物流,data\concept_stocks_by_year\2021\物流.csv,8,ok,CMoney,,,
2021,散熱模組,data\concept_stocks_by_year\2021\散熱模組.csv,8,ok,CMoney,,,
2021,資安,data\concept_stocks_by_year\2021\資安.csv,7,ok,CMoney,,,
2022,軍工/國防,data\concept_stocks_by_year\2022\軍工_國防.csv,8,ok,CMoney,,,
2022,無人機,data\concept_stocks_by_year\2022\無人機.csv,8,ok,CMoney,,,
2022,資安,data\concept_stocks_by_year\2022\資安.csv,7,ok,CMoney,,,
2022,美元升值,data\concept_stocks_by_year\2022\美元升值.csv,8,ok,CMoney,,,
2022,航空/航太,data\concept_stocks_by_year\2022\航空_航太.csv,8,ok,CMoney,,,
2022,原料藥,data\concept_stocks_by_year\2022\原料藥.csv,7,ok,CMoney,,,
2022,生技醫療,data\concept_stocks_by_year\2022\生技醫療.csv,8,ok,CMoney,,,
2022,醫療器材耗材,data\concept_stocks_by_year\2022\醫療器材耗材.csv,8,ok,CMoney,,,
2022,智慧醫療,data\concept_stocks_by_year\2022\智慧醫療.csv,7,ok,CMoney,,,
2022,電動車,data\concept_stocks_by_year\2022\電動車.csv,8,ok,CMoney,,,
2022,車用電子,data\concept_stocks_by_year\2022\車用電子.csv,8,ok,CMoney,,,
2022,智慧電網,data\concept_stocks_by_year\2022\智慧電網.csv,6,ok,CMoney,,,
2022,風力發電,data\concept_stocks_by_year\2022\風力發電.csv,8,ok,CMoney,,,
2022,太陽能,data\concept_stocks_by_year\2022\太陽能.csv,8,ok,CMoney,,,
2022,半導體設備,data\concept_stocks_by_year\2022\半導體設備.csv,13,ok,local_concept_groups,,,
2022,矽晶圓,data\concept_stocks_by_year\2022\矽晶圓.csv,5,ok,CMoney,,,
2023,ChatGPT,data\concept_stocks_by_year\2023\ChatGPT.csv,8,ok,CMoney,,,
2023,AI人工智慧,data\concept_stocks_by_year\2023\AI人工智慧.csv,8,ok,CMoney,,,
2023,CoWoS,data\concept_stocks_by_year\2023\CoWoS.csv,8,ok,CMoney,,,
2023,散熱模組,data\concept_stocks_by_year\2023\散熱模組.csv,8,ok,CMoney,,,
2023,散熱/液冷,data\concept_stocks_by_year\2023\散熱_液冷.csv,8,ok,local_concept_groups,,,
2023,光通訊,data\concept_stocks_by_year\2023\光通訊.csv,8,ok,CMoney,,,
2023,衛星/低軌衛星,data\concept_stocks_by_year\2023\衛星_低軌衛星.csv,8,ok,CMoney,,,
2023,低軌衛星,data\concept_stocks_by_year\2023\低軌衛星.csv,8,ok,CMoney,,,
2023,軍工/國防,data\concept_stocks_by_year\2023\軍工_國防.csv,8,ok,CMoney,,,
2023,無人機,data\concept_stocks_by_year\2023\無人機.csv,8,ok,CMoney,,,
2023,資安,data\concept_stocks_by_year\2023\資安.csv,7,ok,CMoney,,,
2023,碳權,data\concept_stocks_by_year\2023\碳權.csv,8,ok,CMoney,,,
2023,電源供應器,data\concept_stocks_by_year\2023\電源供應器.csv,8,ok,CMoney,,,
2024,AI PC,data\concept_stocks_by_year\2024\AI PC.csv,8,ok,CMoney,Anue鉅亨,【量大強漲股整理】AI無疑是2024年的主流，概念股全面噴出後，有機會接棒的低位階股，該留意誰? - Anue鉅亨,https://news.cnyes.com/news/id/5435287
2024,HBM,data\concept_stocks_by_year\2024\HBM.csv,4,ok,CMoney,,,
2024,GB200,data\concept_stocks_by_year\2024\GB200.csv,8,ok,CMoney,,,
2024,ASIC,data\concept_stocks_by_year\2024\ASIC.csv,8,ok,CMoney,,,
2024,矽智財IP,data\concept_stocks_by_year\2024\矽智財IP.csv,8,ok,CMoney,,,
2024,CoWoS,data\concept_stocks_by_year\2024\CoWoS.csv,8,ok,CMoney,,,
2024,玻璃基板 E-Core Sys.,data\concept_stocks_by_year\2024\玻璃基板 E-Core Sys.csv,8,ok,CMoney,,,
2024,FOPLP扇出型封裝,data\concept_stocks_by_year\2024\FOPLP扇出型封裝.csv,6,ok,CMoney,,,
2024,記憶體,data\concept_stocks_by_year\2024\記憶體.csv,8,ok,CMoney,,,
2024,光通訊,data\concept_stocks_by_year\2024\光通訊.csv,8,ok,CMoney,,,
2024,BBU,data\concept_stocks_by_year\2024\BBU.csv,8,ok,CMoney,,,
2024,電源供應器,data\concept_stocks_by_year\2024\電源供應器.csv,8,ok,CMoney,,,
2024,PCB,data\concept_stocks_by_year\2024\PCB.csv,8,ok,CMoney,,,
2024,銅箔基板,data\concept_stocks_by_year\2024\銅箔基板.csv,8,ok,CMoney,,,
2024,半導體設備,data\concept_stocks_by_year\2024\半導體設備.csv,13,ok,local_concept_groups,,,
2025,GB300,data\concept_stocks_by_year\2025\GB300.csv,8,ok,CMoney,,,
2025,TPU,data\concept_stocks_by_year\2025\TPU.csv,8,ok,CMoney,,,
2025,AWS,data\concept_stocks_by_year\2025\AWS.csv,8,ok,CMoney,,,
2025,Oracle甲骨文,data\concept_stocks_by_year\2025\Oracle甲骨文.csv,7,ok,CMoney,,,
2025,LPU,data\concept_stocks_by_year\2025\LPU.csv,4,ok,CMoney,,,
2025,ASIC,data\concept_stocks_by_year\2025\ASIC.csv,8,ok,CMoney,,,
2025,矽智財IP,data\concept_stocks_by_year\2025\矽智財IP.csv,8,ok,CMoney,,,
2025,3DIC聯盟,data\concept_stocks_by_year\2025\3DIC聯盟.csv,8,ok,CMoney,,,
2025,AI人工智慧,data\concept_stocks_by_year\2025\AI人工智慧.csv,8,ok,CMoney,,,
2025,GB200,data\concept_stocks_by_year\2025\GB200.csv,8,ok,CMoney,,,
2025,智慧型機器人/機械手臂,data\concept_stocks_by_year\2025\智慧型機器人_機械手臂.csv,8,ok,CMoney,,,
2025,無人機,data\concept_stocks_by_year\2025\無人機.csv,8,ok,CMoney,,,
2025,低軌衛星,data\concept_stocks_by_year\2025\低軌衛星.csv,8,ok,CMoney,,,
2025,特用化學,data\concept_stocks_by_year\2025\特用化學.csv,4,ok,CMoney,,,
2025,重電,data\concept_stocks_by_year\2025\重電.csv,4,ok,local_concept_groups,,,
2025,HVDC/直流電力,data\concept_stocks_by_year\2025\HVDC_直流電力.csv,6,ok,local_concept_groups,,,
2025,光通訊,data\concept_stocks_by_year\2025\光通訊.csv,8,ok,CMoney,,,
2026,GB300,data\concept_stocks_by_year\2026\GB300.csv,8,ok,CMoney,,,
2026,TPU,data\concept_stocks_by_year\2026\TPU.csv,8,ok,CMoney,,,
2026,AWS,data\concept_stocks_by_year\2026\AWS.csv,8,ok,CMoney,,,
2026,Oracle甲骨文,data\concept_stocks_by_year\2026\Oracle甲骨文.csv,7,ok,CMoney,,,
2026,ASIC,data\concept_stocks_by_year\2026\ASIC.csv,8,ok,CMoney,,,
2026,矽智財IP,data\concept_stocks_by_year\2026\矽智財IP.csv,8,ok,CMoney,,,
2026,HBM,data\concept_stocks_by_year\2026\HBM.csv,4,ok,CMoney,,,
2026,CoWoS,data\concept_stocks_by_year\2026\CoWoS.csv,8,ok,CMoney,,,
2026,AI人工智慧,data\concept_stocks_by_year\2026\AI人工智慧.csv,8,ok,CMoney,,,
2026,GB200,data\concept_stocks_by_year\2026\GB200.csv,8,ok,CMoney,,,
2026,AI PC,data\concept_stocks_by_year\2026\AI PC.csv,8,ok,CMoney,,,
2026,光通訊,data\concept_stocks_by_year\2026\光通訊.csv,8,ok,CMoney,,,
2026,矽光子,data\concept_stocks_by_year\2026\矽光子.csv,9,ok,local_concept_groups,,,
2026,記憶體,data\concept_stocks_by_year\2026\記憶體.csv,8,ok,CMoney,,,
2026,軍工/國防,data\concept_stocks_by_year\2026\軍工_國防.csv,8,ok,CMoney,,,
2026,無人機,data\concept_stocks_by_year\2026\無人機.csv,8,ok,CMoney,,,
2026,智慧型機器人/機械手臂,data\concept_stocks_by_year\2026\智慧型機器人_機械手臂.csv,8,ok,CMoney,,,
2026,低軌衛星,data\concept_stocks_by_year\2026\低軌衛星.csv,8,ok,CMoney,,,
2026,特用化學,data\concept_stocks_by_year\2026\特用化學.csv,4,ok,CMoney,,,
2026,重電,data\concept_stocks_by_year\2026\重電.csv,4,ok,local_concept_groups,,,
2026,HVDC/直流電力,data\concept_stocks_by_year\2026\HVDC_直流電力.csv,6,ok,local_concept_groups,,,
2026,電源供應器,data\concept_stocks_by_year\2026\電源供應器.csv,8,ok,CMoney,,,
2026,PCB,data\concept_stocks_by_year\2026\PCB.csv,8,ok,CMoney,,,
2026,玻璃基板 E-Core Sys.,data\concept_stocks_by_year\2026\玻璃基板 E-Core Sys.csv,8,ok,CMoney,,,
2026,水資源,data\concept_stocks_by_year\2026\水資源.csv,8,ok,CMoney,,,
2026,Apple蘋果,data\concept_stocks_by_year\2026\Apple蘋果.csv,8,ok,CMoney,,,
2026,Apple Pay,data\concept_stocks_by_year\2026\Apple Pay.csv,8,ok,CMoney,,,
2026,Tesla特斯拉,data\concept_stocks_by_year\2026\Tesla特斯拉.csv,8,ok,CMoney,,,
2026,IOT物聯網,data\concept_stocks_by_year\2026\IOT物聯網.csv,8,ok,CMoney,,,
2026,Type-c,data\concept_stocks_by_year\2026\Type-c.csv,8,ok,CMoney,,,
2026,VR虛擬實境,data\concept_stocks_by_year\2026\VR虛擬實境.csv,8,ok,CMoney,,,
2026,宅經濟,data\concept_stocks_by_year\2026\宅經濟.csv,8,ok,CMoney,,,
2026,文創,data\concept_stocks_by_year\2026\文創.csv,8,ok,CMoney,,,
2026,人臉辨識,data\concept_stocks_by_year\2026\人臉辨識.csv,8,ok,CMoney,,,
2026,夏季,data\concept_stocks_by_year\2026\夏季.csv,8,ok,CMoney,,,
2026,自動駕駛,data\concept_stocks_by_year\2026\自動駕駛.csv,8,ok,CMoney,,,
2026,行動支付,data\concept_stocks_by_year\2026\行動支付.csv,8,ok,CMoney,,,
2026,車用電子,data\concept_stocks_by_year\2026\車用電子.csv,8,ok,CMoney,,,
2026,NFC,data\concept_stocks_by_year\2026\NFC.csv,8,ok,CMoney,,,
2026,長照,data\concept_stocks_by_year\2026\長照.csv,8,ok,CMoney,,,
2026,指紋辨識,data\concept_stocks_by_year\2026\指紋辨識.csv,8,ok,CMoney,,,
2026,航空/航太,data\concept_stocks_by_year\2026\航空_航太.csv,8,ok,CMoney,,,
2026,ADAS,data\concept_stocks_by_year\2026\ADAS.csv,8,ok,CMoney,,,
2026,資訊月,data\concept_stocks_by_year\2026\資訊月.csv,8,ok,CMoney,,,
2026,福建自貿區,data\concept_stocks_by_year\2026\福建自貿區.csv,8,ok,CMoney,,,
2026,一帶一路,data\concept_stocks_by_year\2026\一帶一路.csv,8,ok,CMoney,,,
2026,穿載裝置,data\concept_stocks_by_year\2026\穿載裝置.csv,8,ok,CMoney,,,
2026,第三方支付,data\concept_stocks_by_year\2026\第三方支付.csv,8,ok,CMoney,,,
2026,車聯網,data\concept_stocks_by_year\2026\車聯網.csv,8,ok,CMoney,,,
2026,無線充電,data\concept_stocks_by_year\2026\無線充電.csv,8,ok,CMoney,,,
2026,CES,data\concept_stocks_by_year\2026\CES.csv,8,ok,CMoney,,,
2026,Home Depot,data\concept_stocks_by_year\2026\Home Depot.csv,8,ok,CMoney,,,
2026,MWC,data\concept_stocks_by_year\2026\MWC.csv,8,ok,CMoney,,,
2026,TPP,data\concept_stocks_by_year\2026\TPP.csv,8,ok,CMoney,,,
2026,Under Armour,data\concept_stocks_by_year\2026\Under Armour.csv,8,ok,CMoney,,,
2026,5G,data\concept_stocks_by_year\2026\5G.csv,8,ok,CMoney,,,
2026,FANG,data\concept_stocks_by_year\2026\FANG.csv,8,ok,CMoney,,,
2026,Micro LED,data\concept_stocks_by_year\2026\Micro LED.csv,8,ok,CMoney,,,
2026,RFID,data\concept_stocks_by_year\2026\RFID.csv,8,ok,CMoney,,,
2026,任天堂Switch,data\concept_stocks_by_year\2026\任天堂Switch.csv,8,ok,CMoney,,,
2026,共享單車,data\concept_stocks_by_year\2026\共享單車.csv,5,ok,CMoney,,,
2026,Fun暑假,data\concept_stocks_by_year\2026\Fun暑假.csv,8,ok,CMoney,,,
2026,智慧音箱,data\concept_stocks_by_year\2026\智慧音箱.csv,8,ok,CMoney,,,
2026,電競,data\concept_stocks_by_year\2026\電競.csv,8,ok,CMoney,,,
2026,3D感測,data\concept_stocks_by_year\2026\3D感測.csv,8,ok,CMoney,,,
2026,空污,data\concept_stocks_by_year\2026\空污.csv,8,ok,CMoney,,,
2026,AR擴增實境,data\concept_stocks_by_year\2026\AR擴增實境.csv,8,ok,CMoney,,,
2026,氫燃料電池,data\concept_stocks_by_year\2026\氫燃料電池.csv,8,ok,CMoney,,,
2026,電動車,data\concept_stocks_by_year\2026\電動車.csv,8,ok,CMoney,,,
2026,智慧城市,data\concept_stocks_by_year\2026\智慧城市.csv,8,ok,CMoney,,,
2026,矽晶圓,data\concept_stocks_by_year\2026\矽晶圓.csv,5,ok,CMoney,,,
2026,寧德時代,data\concept_stocks_by_year\2026\寧德時代.csv,8,ok,CMoney,,,
2026,A股入摩,data\concept_stocks_by_year\2026\A股入摩.csv,8,ok,CMoney,,,
2026,零售,data\concept_stocks_by_year\2026\零售.csv,8,ok,CMoney,,,
2026,DANCE,data\concept_stocks_by_year\2026\DANCE.csv,8,ok,CMoney,,,
2026,二胎化,data\concept_stocks_by_year\2026\二胎化.csv,8,ok,CMoney,,,
2026,顯示器,data\concept_stocks_by_year\2026\顯示器.csv,8,ok,CMoney,,,
2026,比特幣挖礦,data\concept_stocks_by_year\2026\比特幣挖礦.csv,8,ok,CMoney,,,
2026,旅遊,data\concept_stocks_by_year\2026\旅遊.csv,8,ok,CMoney,,,
2026,Airpods,data\concept_stocks_by_year\2026\Airpods.csv,8,ok,CMoney,,,
2026,防疫,data\concept_stocks_by_year\2026\防疫.csv,8,ok,CMoney,,,
2026,風力發電,data\concept_stocks_by_year\2026\風力發電.csv,8,ok,CMoney,,,
2026,智慧電網,data\concept_stocks_by_year\2026\智慧電網.csv,6,ok,CMoney,,,
2026,智慧醫療,data\concept_stocks_by_year\2026\智慧醫療.csv,7,ok,CMoney,,,
2026,美容,data\concept_stocks_by_year\2026\美容.csv,8,ok,CMoney,,,
2026,資安,data\concept_stocks_by_year\2026\資安.csv,7,ok,CMoney,,,
2026,折疊機,data\concept_stocks_by_year\2026\折疊機.csv,6,ok,CMoney,,,
2026,衛星/低軌衛星,data\concept_stocks_by_year\2026\衛星_低軌衛星.csv,8,ok,CMoney,,,
2026,遠距教學,data\concept_stocks_by_year\2026\遠距教學.csv,8,ok,CMoney,,,
2026,環境工程,data\concept_stocks_by_year\2026\環境工程.csv,8,ok,CMoney,,,
2026,保健食品,data\concept_stocks_by_year\2026\保健食品.csv,8,ok,CMoney,,,
2026,寵物,data\concept_stocks_by_year\2026\寵物.csv,8,ok,CMoney,,,
2026,東協,data\concept_stocks_by_year\2026\東協.csv,8,ok,CMoney,,,
2026,建材,data\concept_stocks_by_year\2026\建材.csv,5,ok,CMoney,,,
2026,黃金,data\concept_stocks_by_year\2026\黃金.csv,3,ok,CMoney,,,
2026,Mini LED,data\concept_stocks_by_year\2026\Mini LED.csv,8,ok,CMoney,,,
2026,散熱模組,data\concept_stocks_by_year\2026\散熱模組.csv,8,ok,CMoney,,,
2026,新藥,data\concept_stocks_by_year\2026\新藥.csv,8,ok,CMoney,,,
2026,iPhone,data\concept_stocks_by_year\2026\iPhone.csv,8,ok,CMoney,,,
2026,AMD,data\concept_stocks_by_year\2026\AMD.csv,8,ok,CMoney,,,
2026,雙十一,data\concept_stocks_by_year\2026\雙十一.csv,8,ok,CMoney,,,
2026,PS5,data\concept_stocks_by_year\2026\PS5.csv,8,ok,CMoney,,,
2026,IC載板,data\concept_stocks_by_year\2026\IC載板.csv,4,ok,CMoney,,,
2026,被動元件,data\concept_stocks_by_year\2026\被動元件.csv,8,ok,CMoney,,,
2026,電容,data\concept_stocks_by_year\2026\電容.csv,8,ok,CMoney,,,
2026,電阻,data\concept_stocks_by_year\2026\電阻.csv,4,ok,CMoney,,,
2026,電感,data\concept_stocks_by_year\2026\電感.csv,8,ok,CMoney,,,
2026,石英元件,data\concept_stocks_by_year\2026\石英元件.csv,5,ok,CMoney,,,
2026,鋁質電容,data\concept_stocks_by_year\2026\鋁質電容.csv,4,ok,CMoney,,,
2026,保護元件,data\concept_stocks_by_year\2026\保護元件.csv,5,ok,CMoney,,,
2026,濾波器,data\concept_stocks_by_year\2026\濾波器.csv,5,ok,CMoney,,,
2026,變壓器,data\concept_stocks_by_year\2026\變壓器.csv,8,ok,CMoney,,,
2026,連接器,data\concept_stocks_by_year\2026\連接器.csv,8,ok,CMoney,,,
2026,PCB材料,data\concept_stocks_by_year\2026\PCB材料.csv,6,ok,CMoney,,,
2026,銅箔,data\concept_stocks_by_year\2026\銅箔.csv,2,ok,CMoney,,,
2026,銅箔基板,data\concept_stocks_by_year\2026\銅箔基板.csv,8,ok,CMoney,,,
2026,Chromebook,data\concept_stocks_by_year\2026\Chromebook.csv,8,ok,CMoney,,,
2026,居家辦公(WFH),data\concept_stocks_by_year\2026\居家辦公(WFH).csv,8,ok,CMoney,,,
2026,物流,data\concept_stocks_by_year\2026\物流.csv,8,ok,CMoney,,,
2026,O-RAN,data\concept_stocks_by_year\2026\O-RAN.csv,8,ok,CMoney,,,
2026,電商,data\concept_stocks_by_year\2026\電商.csv,8,ok,CMoney,,,
2026,線上遊戲,data\concept_stocks_by_year\2026\線上遊戲.csv,8,ok,CMoney,,,
2026,功率半導體,data\concept_stocks_by_year\2026\功率半導體.csv,8,ok,CMoney,,,
2026,虛擬貨幣,data\concept_stocks_by_year\2026\虛擬貨幣.csv,8,ok,CMoney,,,
2026,NIKE,data\concept_stocks_by_year\2026\NIKE.csv,8,ok,CMoney,,,
2026,快速充電,data\concept_stocks_by_year\2026\快速充電.csv,7,ok,CMoney,,,
2026,資產股,data\concept_stocks_by_year\2026\資產股.csv,8,ok,CMoney,,,
2026,MIH,data\concept_stocks_by_year\2026\MIH.csv,8,ok,CMoney,,,
2026,WiFi 6,data\concept_stocks_by_year\2026\WiFi 6.csv,8,ok,CMoney,,,
2026,HPC,data\concept_stocks_by_year\2026\HPC.csv,8,ok,CMoney,,,
2026,元宇宙,data\concept_stocks_by_year\2026\元宇宙.csv,8,ok,CMoney,,,
2026,原料藥,data\concept_stocks_by_year\2026\原料藥.csv,7,ok,CMoney,,,
2026,生物相似藥,data\concept_stocks_by_year\2026\生物相似藥.csv,2,ok,CMoney,,,
2026,新藥研發,data\concept_stocks_by_year\2026\新藥研發.csv,8,ok,CMoney,,,
2026,生技醫療,data\concept_stocks_by_year\2026\生技醫療.csv,8,ok,CMoney,,,
2026,生物檢測,data\concept_stocks_by_year\2026\生物檢測.csv,6,ok,CMoney,,,
2026,再生醫療,data\concept_stocks_by_year\2026\再生醫療.csv,7,ok,CMoney,,,
2026,醫藥通路,data\concept_stocks_by_year\2026\醫藥通路.csv,5,ok,CMoney,,,
2026,醫療器材耗材,data\concept_stocks_by_year\2026\醫療器材耗材.csv,8,ok,CMoney,,,
2026,醫療儀器設備,data\concept_stocks_by_year\2026\醫療儀器設備.csv,4,ok,CMoney,,,
2026,醫美保養妝品,data\concept_stocks_by_year\2026\醫美保養妝品.csv,8,ok,CMoney,,,
2026,運動健身,data\concept_stocks_by_year\2026\運動健身.csv,4,ok,CMoney,,,
2026,視力保健,data\concept_stocks_by_year\2026\視力保健.csv,6,ok,CMoney,,,
2026,衛生保健,data\concept_stocks_by_year\2026\衛生保健.csv,4,ok,CMoney,,,
2026,農業生技,data\concept_stocks_by_year\2026\農業生技.csv,6,ok,CMoney,,,
2026,醫療院所,data\concept_stocks_by_year\2026\醫療院所.csv,1,ok,CMoney,,,
2026,醫療管理顧問,data\concept_stocks_by_year\2026\醫療管理顧問.csv,1,ok,CMoney,,,
2026,製藥業,data\concept_stocks_by_year\2026\製藥業.csv,8,ok,CMoney,,,
2026,ChatGPT,data\concept_stocks_by_year\2026\ChatGPT.csv,8,ok,CMoney,,,
2026,碳權,data\concept_stocks_by_year\2026\碳權.csv,8,ok,CMoney,,,
2026,氣候變遷,data\concept_stocks_by_year\2026\氣候變遷.csv,8,ok,CMoney,,,
2026,鴻海MIH電動車平台,data\concept_stocks_by_year\2026\鴻海MIH電動車平台.csv,8,ok,CMoney,,,
2026,長期照護,data\concept_stocks_by_year\2026\長期照護.csv,8,ok,CMoney,,,
2026,美元升值,data\concept_stocks_by_year\2026\美元升值.csv,8,ok,CMoney,,,
2026,小米,data\concept_stocks_by_year\2026\小米.csv,8,ok,CMoney,,,
2026,3D列印,data\concept_stocks_by_year\2026\3D列印.csv,8,ok,CMoney,,,
2026,太陽能,data\concept_stocks_by_year\2026\太陽能.csv,8,ok,CMoney,,,
2026,次世代半導體,data\concept_stocks_by_year\2026\次世代半導體.csv,8,ok,CMoney,,,
2026,FOPLP扇出型封裝,data\concept_stocks_by_year\2026\FOPLP扇出型封裝.csv,6,ok,CMoney,,,
2026,BBU,data\concept_stocks_by_year\2026\BBU.csv,8,ok,CMoney,,,
2026,3DIC聯盟,data\concept_stocks_by_year\2026\3DIC聯盟.csv,8,ok,CMoney,,,
2026,LPU,data\concept_stocks_by_year\2026\LPU.csv,4,ok,CMoney,,,
